         1584889 function calls (1445912 primitive calls) in 5.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.034    0.034 api_key.py:1(<module>)
        1    0.000    0.000    0.033    0.033 pq_ctypes.py:1(<module>)
     3226    0.019    0.000    0.033    0.000 typing.py:2558(get_args)
        1    0.000    0.000    0.032    0.032 to_thread.py:1(<module>)
        1    0.000    0.000    0.032    0.032 message.py:1(<module>)
      655    0.004    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       63    0.003    0.000    0.032    0.001 _core_utils.py:607(validate_core_schema)
      725    0.010    0.000    0.032    0.000 enum.py:354(__setitem__)
        3    0.000    0.000    0.032    0.011 main.py:587(__init__)
        2    0.000    0.000    0.032    0.016 decl_api.py:176(__init__)
        2    0.000    0.000    0.032    0.016 decl_base.py:239(_as_declarative)
        2    0.000    0.000    0.032    0.016 decl_base.py:298(setup_mapping)
       14    0.000    0.000    0.032    0.002 <string>:1(__new__)
        3    0.000    0.000    0.032    0.011 _collections.py:1(<module>)
        2    0.000    0.000    0.032    0.016 decl_base.py:505(__init__)
       14    0.000    0.000    0.032    0.002 schema.py:423(__new__)
       14    0.000    0.000    0.032    0.002 schema.py:432(_new)
      191    0.002    0.000    0.031    0.000 fields.py:342(from_annotated_attribute)
        1    0.000    0.000    0.031    0.031 nodes.py:1(<module>)
        3    0.000    0.000    0.031    0.010 __init__.py:483(version)
        3    0.000    0.000    0.031    0.010 __init__.py:448(metadata)
        1    0.000    0.000    0.031    0.031 lexer.py:1(<module>)
        5    0.001    0.000    0.031    0.006 types.py:1(<module>)
        2    0.000    0.000    0.031    0.015 requests.py:1(<module>)
       44    0.000    0.000    0.031    0.001 deprecations.py:138(decorate)
       44    0.001    0.000    0.030    0.001 deprecations.py:359(_decorate_with_warning)
      198    0.004    0.000    0.030    0.000 _compiler.py:514(_compile_info)
      149    0.008    0.000    0.030    0.000 langhelpers.py:2125(inject_docstring_text)
       78    0.001    0.000    0.030    0.000 utils.py:348(analyze_param)
        2    0.000    0.000    0.030    0.015 cursor.py:1(<module>)
    61/23    0.001    0.000    0.030    0.001 typing.py:1452(__getitem__)
       28    0.000    0.000    0.029    0.001 schema.py:487(__init__)
       85    0.003    0.000    0.029    0.000 dataclasses.py:470(add_fns_to_class)
     1766    0.011    0.000    0.029    0.000 _typing_extra.py:273(is_finalvar)
        1    0.001    0.001    0.029    0.029 elements.py:1(<module>)
       15    0.000    0.000    0.029    0.002 utils.py:63(create_model_field)
      945    0.014    0.000    0.029    0.000 compat.py:200(inspect_formatargspec)
        1    0.000    0.000    0.029    0.029 rfc_constants.py:1(<module>)
